Company Name,Ticker,Net Income ,Intangibles,Inventory ,Receivables ,Asset Utilization,Inventory Turnover,Turnover,Operating Margin 12 Mo,Net Margin,Price/Sales,Current Assets ,Current Liabilities ,Pretax Income ,EBIT ,EBITDA ,Cost of Goods Sold,Annual Sales,Book Value,Common Equity,Preferred Equity,Long Term Debt ,Price/Book,Price/Cash Flow,PEG Ratio,% Rating Change - 4 Weeks,Current Avg Broker Rec,% Rating Strong Buy or Buy,% Rating Strong Sell or Sell,Industry Rank (of ABR),Rank in Industry (of ABR),Change in Avg Rec ,% Rating Hold,% Rating Upgrades ,% Change LT Growth Est. (4 weeks),% Change F1 Est. (4 weeks),P/E (F2),P/E (F1),P/E (Trailing 12 Months),Q(1) Consensus Sales Est. (Mil.),F(1) Consensus Sales Est. (Mil.),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),% Change Q0 Est. (4 weeks),% Change F2 Est. (4 weeks),% Rating Downgrades ,Beta,Market Value/# Analysts,ROA (5 Yr Avg),Current ROA (TTM),ROI (5 Yr Avg),Current ROI (TTM),Current ROE (TTM),5 Yr. Hist. EPS Growth,Long-Term Growth Consensus Est.,Relative Price Change,% Price Change (YTD),% Price Change (12 Weeks),52 Week Low,Q1 Consensus Est. ,Last Close,52 Week High,Price as a % of 52 Wk H-L Range,% Price Change (1 Week),% Price Change (4 Weeks),% Change EPS (F(-1)/F(-2)),Last Yrs Growth (F[0] / F [-1]),This Yr`s Est.d Growth (F(1)/F(0)),F2 Consensus Est.,Dividend ,Div. Yield %,5 Yr Hist. Div. Growth %,5 Yr Div. Yield %,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),St. Dev. F1 / F1 Consensus,F1 Consensus Est.,F0 Consensus Est.,% Ratio of Q1/Q0,% Ratio of Q1/prior Yr Q1 Actual Q(-3),% Change Q2 Est. (4 weeks),% Change Q1 Est. (4 weeks),Q0 Consensus Est. (last completed fiscal Qtr),St. Dev. Q1 / Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,Cash Flow ,Exchange,
CRACKER BARREL,CBRL,117.26,0,146.67999,15.93999,1.9383,5.6096,155.44099,4.89,,.86,302.19,316.05999,165.77999,201.52,267.64001,854.67999,2644.63,20.45,484.01998,0,400,4.73,12.42,1.76,.79,2.78,11.11,0,156,42,-.02,88.89,0,0,0,15.72,17.31,17.77,691.17297,2691.96191,3.07,2.5,0,0,0,.87,383.75631,7.41109,9.47,11.678,14.85,26.97,11.84,9.82,-15.67,-12.18,.47,94.62,1.59,96.66,118.12,8.68,-1.39,-3.8,8.15,7.81,0,6.15,2.25,4.14,39.707,2.27,,8.15,13.7563,.00353,5.59,5.59,,110.84,0,0,1.59,.01,1.32,.08,185.17199,NSDQ,
COLUMBIA LABS,CBRX,6.69999,13.97999,2.57999,7.19,.56924,6.1487,4.8351,19.95,.51,2.26,32.22,6.28999,6.71999,6.71999,7.63,13.25,13.25,3.64,46.86999,.55,3.74,1.68,8.07,,,,,,,,,,,,,,,21.82,,,-6.44,-48.7,,,,.75,,8.08069,6.39,89.05999,13.32,8.31,,,-11.07,-7.56,-7,5.36,,6.11,8.28,25.68,-3.78,-6.72,-120.88,125,,,0,0,,0,-83.57776,-120.88,-32.39153,,,,,,,,.16,,,,9.095,NSDQ,
COMMERCE BANCSH,CBSH,260.95999,148.17999,0,10795.2998,.04722,11.293,.09845,24.54,.24,3.95,13234.80957,20393.91015,383.33999,387.51,459.86999,26.73999,1068.67,22.24,2214.38989,0,107.30999,2.01,12.88,2.24,0,2.45,27.27,0,204,21,0,72.73,0,17.08,1.02,14.95,15.9,16.14,273.89599,1087.557,-2.43,-.83,.4,.24,0,.96,387.40701,1.202,1.16,10.326,11.32,12.05,10.44,7.09,-3.94,-.31,2.31,40.55,.72,44.77,47.36,61.96,-1.95,-5.47,1.99,-1.52,3.54,2.99,.86786,2.01,3.6544,2.31,-1.49659,1.99,-3.10412,.00782,2.82,2.76,102.47,100.42,.28,1.17,.68,.02,.73,.02,333.32101,NSDQ,
CUBIST PHARM,CBST,-18.57,1104.07995,57.65999,123.15,.36392,4.2711,10.237,7.49,-.02,4.1,869.76,310.82,-43.64,-6.04,71.27999,260.30999,1054.44,19.76,1393.72998,0,1020.71997,3.09,23.37,2.2,-16.66,1.71,66.67,0,10,99,.24,33.33,0,.58,-15.67,25.23,47.28,59.27,305.37799,1197.17297,17.37,13.83,-10.3,-14.76,0,.7,574.67126,7.9524,2.72,9.72669,3.81,5.89,-2.4,21.5,-15.34,-11.36,-9.29,57,.43,61.05,81.23,16.71,-2.55,-13.5,-91.6,-44.53,-12.16,2.42,0,0,,0,-100.33447,-91.6,-112.05297,.34934,1.29,1.53,185.09,103.83,-16.16,-14.43,.37,.36,.5,.39,193.477,NSDQ,
CAPITAL CITY BK,CCBG,6.03999,84.83999,11.06,1365.5,.05181,.10047,.09732,7.15,.04,1.78,1906.5,2187.56005,7.96999,10.94999,22.30999,1.42999,138.57,16.07,276.39999,0,100.93,.85,13.61,,0,2.25,50,0,149,38,0,50,0,,3.42,21.68,27.14,24.84,32.29999,127.9,-6.54,-4.35,0,1.07,0,1.04,79.35093,.06046,.37,.43928,2.59,3.56,10.57,,9.24,16.06,2.25,11.39,.12,13.66,14.53,72.29,1.56,-3.33,104.94,3400,43.81,.63,0,.59,-38.424,2.09,324.70364,104.94,5940,.12773,.5,.27,150,133.33,-5,0,.1,.08,.13,.05,17.405,NSDQ,
CHINACACHE INTL,CCIH,-5.65001,9.28999,0,50.58,.99502,,3.46609,-1.38,-.03,1.69,129.96,84.55999,-5.44001,-4.85,5.34999,124.98,182.24,5.25,107.88999,0,0,2.48,64.99,,,,,,,,,,,,,,,,,,44.28,39.53,,,,1.72,,-1.25951,-1.38,-2.8693,-2.36,-2.36,,,39.58,46.02,4,4.37,,13.01,27.36,37.58,-2.18,-16.6,36.2,-120,,,0,0,,0,,36.2,-107.72059,,,,,,,,-.04,,,,5.078,NSDQ,
CABOT MICROELEC,CCMP,51.38,56.72999,63.77999,54.63999,.74272,3.22399,7.89169,12.47,.12,2.26,365.70999,67.5,74.22,77.86,98.30999,221.00999,433.13,15.12,327.07,0,150.92999,2.63,13.1,1.48,0,2,66.67,0,69,31,0,33.33,0,0,-4.17,16.09,19.2,18.57,111,419.29998,4.61,1.28,5.08,-8.52,0,1.04,958.33013,8.3477,9.26,9.3203,10.47,14.97,11.12,13,-15.81,-13.04,-5.72,36,.61,39.74,47.73,31.88,-1.92,-13.76,11.28,8.21,-1.9,2.47,0,0,,0,21.95482,11.28,25.86967,,2.07,2.07,115.09,87.14,-7.94,-4.69,.62,,.58,,70.647,NSDQ,
CNB FINL CP PA,CCNE,16.67,32.68,.47999,1305.16003,.04642,25.25799,.07805,21.68,.2,2.54,1335.56005,1870.75,23.01,27.21999,33.4,7.98999,85.18,11.91,164.91,0,95.62,1.39,10.44,,0,1,100,0,186,2,0,0,0,,3.57,10.84,11.43,11.2,22.29,89.41999,7.86,5.57,0,2,0,1.01,239.82969,.93343,1.01,6.25419,7.64,13.13,8.37,,-16.71,-12.74,4.08,15.93,.36,16.58,20.45,14.38,-1.78,-6.49,28.74,-6.52,12.4,1.53,.66,3.98,0,4.23,2.70396,28.74,-2.68535,,1.45,1.23,92.31,90,0,2.86,.34,,.36,,22.85899,NSDQ,
COGENT COMM HLD,CCOI,56.68,0,0,30.62,.51019,,11.91699,2.01,.16,4.52,354.26998,143.69,6.98,48.77,119.20999,150.22,347.98,3.44,193.49,0,397.94,10.01,20.97,8.73,-6.28,2.44,44.44,22.22,106,9,0,33.33,0,0,0,60.59,148.39,229.73,98.111,387.85101,10.3,9.78,0,0,0,1.08,178.80911,-.61791,1.02,-.69678,1.31,4.3,33.91,17,-17.77,-14.72,-4.83,28.62,.08,34.46,43.08,40.39,-1.54,-2.24,3236.28,277.78,45.14,.57,.54,1.97,,.61,,3236.28,1433.64709,.45917,.23,.14,,252.38,0,0,.04,.54,.1,.37,77.829,NSDQ,
CROSS COUNTRY,CCRN,-51.96,145.75999,0,65.16999,1.6864,,6.4812,.04,-.12,.51,83.93,44.9,-10.03,-9.19,-2.78,324.85,438.31,5.16,160.66,0,.09,1.41,25.49,16.16,0,2.5,25,0,,,0,75,0,0,0,31.61,161.56,,140.145,523.63299,-5.94,-.98,0,0,0,1.25,56.54242,.49788,.07,.55374,.1,.1,-90.39,10,-31.03,-27.15,32.91,5.3,.03,7.27,11.35,32.56,8.02,6.91,-33.18,132,-43.75,.23,0,0,,0,,-33.18,-23.06963,1.15471,.05,.02,,-150,0,0,-.01,.72,.04,.35,8.86499,NSDQ,
CONCURRENT NEW,CCUR,4.23999,.82999,2.83999,10.69999,1.44079,9.0444,5.43289,5.38,,1,43.79,16.04999,4.61,4.67,7.82,26.6,63.44,2.81,25.78,0,0,2.63,11.67,,,,,,,,,,,,,,,18.05,,,0,5.22,,,,.41,,-.53176,7.75,-.89113,14.21,14.21,,,-12.7,-9.42,-9.42,6.78,,7.4,8.88,29.52,.54,-.67,143.38,191.18,,,.47999,6.49,,2.1,,143.38,247.22221,,,,,,,,.09,,,,5.84999,NSDQ,
CHEMOCENTRYX,CCXI,-38.67,0,0,.38999,.04072,,8.84669,-638.17,-6.38,40.11,134.3,6.86999,-38.67,-38.62,-38.05,0,6.06,3.18,145.3,0,.00999,1.77,,,-20,2,50,0,10,42,0,50,0,,-2.08,,,,1,2,,11.83,-5.88,1.58,0,1.18,121.53811,-21.99901,-25.55,-24.007,-26.84,-26.85,,,-9.06,-2.94,4.27,4.67,-.28,5.62,14,10.18,1.81,-6.95,2.4,15.93,-12.11,-1.15,0,0,,,,2.4,3.05841,-.04648,-1.07,-.96,,121.74,0,-3.7,-.26,,-.28,,-38.10301,NSDQ,
CADENCE DESIGN,CDNS,164.24,768.59002,50.22,107.62,.58301,4.1956,14.369,14.04,.11,3.3,1221.08996,1148.20996,158.99,196.57,320.26,200.19999,1460.12,4.35,1156.09997,0,0,3.92,14.19,2.43,-31.25,1.5,87.5,0,34,23,.36,12.5,0,-11.44,-18.46,23.19,32.23,23.72,396.79998,1584.19995,14.78,10.08,0,-8.3,0,1.46,1648.2882,5.38119,8.19,13.56099,17.83,17.83,24.5,13.28,14.93,21.83,9.98,12.59,.15,17.08,17.56,90.34,.06,-2.73,-71.22,24.59,-30.26,.74,0,0,,0,-75.64812,-71.22,-62.66764,.11476,.53,.57,86.28,81.48,-15.71,-18.52,.12,.08,.2,.23,346.263,NSDQ,
CLEAN DIESEL,CDTI,-7.09001,9.36999,5.90999,5.51999,1.84759,5.9303,8.95279,-9.95,-.13,.48,16.80999,14.68,-6.42001,-5.02,-3.67001,39.88,55.3,.51,5.44,0,7.53999,4.09,,,0,1,100,0,145,3,0,0,0,,0,,,,13.3,52.7,134.58,-8.6,0,0,0,1.54,12.97064,-31.73501,-18.37,-65.31401,-43.67,-84.99,,,47.44,40,-11.39,1.33,-.12,2.1,6.33,15.4,-10.26,-20.45,2.22,40.16,-2.74,-.43,0,0,,0,,2.22,26.60455,-.37713,-.75,-.65,,60.53,0,0,-.15,-.8,-.11,-1.16,-4.67001,NSDQ,
CDW CORP,CDW,132.8,3548.30004,382,1597.30004,1.8428,28.857,6.89799,3.02,.01,.47,2213.5,1402.59997,195.5,445.6,662.59997,9008.2998,10768.6,4.39,711.70001,0,3205.80004,7.06,10.13,1.21,-6.67,1.78,66.67,0,38,13,0,33.33,0,0,0,12.54,13.85,14.54,3072.58398,11597.44335,,6.32,0,0,0,.88,1776.50683,,6.18,,8.51,51.97,,11.45,26.6,32.62,8.02,20.66,.63,30.98,32.5,87.16,-1.15,-4.68,25.19,80.2,22.9,2.47,.0425,.55,,,6.36549,25.19,11.59664,.0865,2.24,1.7,97.44,129.25,0,0,.59,.13,.56,.06,526.00897,NSDQ,
CODEXIS INC,CDXS,-41.3,12.8,1.48,5.40999,.42855,6.56689,7.54899,-138.3,-1.29,2.99,35.77999,11.18999,-41.39,-41.09001,-30.73,14.55,31.92,.95,41.47999,0,0,2.24,,,,,,,,,,,,,,,,,,,-22.53,-63.85,,,,1.5,,-28.133,-59.27,-47.389,-80.8,-80.8,,,43.6,52.14,41.06,1.25,,2.13,2.53,68.75,9.79,46.39,-15.36,-28.57,,,0,0,,0,,-15.36,-33.87358,,,,,,,,-.3,,,,-30.94301,NSDQ,
CECO ENVIRNMNTL,CECE,6.55,197.44999,25.37,44.36,.762,7.27769,5.59969,10.09,.03,1.59,124.76999,59.33,6.44999,7.94,14.57999,135.75999,197.32,6.71,170.39999,0,79.16,2.03,12.88,.76,7.14,1.86,57.14,0,151,9,-.14,42.86,0,0,-.37,11.88,13.62,13.59,69.23,270.596,2.42,46.1,1.18,-2.22,0,1.23,70.03742,7.4503,7.69,11.097,10.81,15.21,75.57,18,-19.51,-15.86,-3.55,11.86,.26,13.59,18.83,24.82,-6.02,-13.49,-33.08,50.77,1.84,1.14,.2,1.77,33.33499,.9,,-33.08,-39.63134,.0364,1,.91,,83.23,-.12,0,.25,.06,.29,.04,26.99699,NSDQ,
CAREER EDU CORP,CECO,-164.26,127.47,6.73999,62.09,1.17569,51.555,14.41899,-13.54,-.16,.32,460.01,207.42999,-221.34,-219.99001,-124.15001,406.27999,1057.36,5.93,455.38,0,0,.83,204.78,,0,3,25,25,178,19,0,50,0,0,0,,,,226.38999,935.82501,-11.08,-29,0,1.12,0,2.59,110.69387,4.93389,-15.92,7.64099,-29.31,-29.31,-19.82,9,-14.17,-13.33,0,2.55,-.4,4.94,7.81,45.49,-2.18,-.2,1.37,-220.45,-41.13,-.66,0,0,,0,,1.37,-15.03607,-.06175,-1.99,-1.49,,88.89,0,0,-.5,-.35,-.21,-.59,1.62,NSDQ,
CELGENE CORP,CELG,1449.90002,4880.8999,340.39999,1061.40002,.5313,1.06939,6.53789,34.81,.22,9.87,7550.5,1945.5,1665.40002,1757,2131.10009,340.39999,6493.9,11.2,5589.8999,0,4196.5,7.74,26.6,1.08,-.63,1.4,80,0,12,111,-.01,20,0,-.27,-.26,19.56,27.29,29.98,1944.97302,7580.77392,23.56,17.93,0,.61,0,1.07,34695.96093,17.21299,17.7,23.302,25.66,47.03,31.39,25.25,-1.24,2.56,20.25,66.22,.82,86.65,90.19,85.23,.53,-3.93,-5.54,19.11,18.47,4.43,0,0,,0,-6.58842,-5.54,-.43263,.00222,3.17,2.7,102.08,117.51,-.38,-.41,.77,.04,.87,.04,2684.86303,NSDQ,
CHEMBIO DIAGNOS,CEMI,.52999,.31999,3.18,4.59,1.19799,4.67969,6.61709,-.04,.02,1.05,18.53,4.3,1.00999,1.0103,1.61029,17.23999,29.55,2.16,20.17,0,0,1.46,26.05,,0,1,100,0,26,7,0,0,0,0,0,49.9,,,6.94329,26.37999,21.68,15.38,0,0,0,.01,10.07408,11.152,-.05,16.95,-.05,-.05,-31.01,25,-5.4,-6.23,10.1,2.87,-.01,3.16,4.95,13.91,-8.41,-9.46,-101.33,-45.45,-194.45,.06,0,0,,0,,-101.33,-43.61703,-.87051,-.06,.14,,22.22,0,0,-.02,-3.46,0,-8.66,1.131,NSDQ,
CEMPRA INC,CEMP,-45.03,0,0,1.62,.10407,,7.31279,-474.59,-5.76,37.54,98.52999,10.85999,-45.03,-42.90001,-42.21,0,7.81,1.62,69.97,0,12.52999,5.73,,,0,1,100,0,10,2,0,0,0,,2.9,,,,1.79449,10.484,,,3.77,4.52,0,1.16,61.75386,-96.09101,-69.15,-122.655,-56.85,-102.66,,,-28.91,-24.94,7.51,7.82,-.59,9.3,14.92,20.85,-1.27,-19.06,-144.67,-24.39,-41.31,-1.8,0,0,,,-64.5694,-144.67,-85.92074,-.02105,-2.16,-1.42,120.41,143.9,.75,1.67,-.55,-.09,-.55,-.03,-44.34501,NSDQ,
CENTRAL GARDEN,CENT,-1.92,285.61999,391.92999,194.25999,1.36329,2.92079,7.32189,.43,0,.27,672.65002,182.32,-3.49001,39.61999,80.29,1189.72998,1653.63,9.64,470.01998,0,472.44,.93,9.54,3.27,0,3,0,0,78,11,0,100,0,0,0,18,32.73,64.29,373.64999,1648.34997,1.55,-2.73,0,0,0,1.5,227.0025,2.8222,.58,3.4892,.73,1.48,-34.93,10,28.07,31,21.46,6.08,-.22,9,9.58,83.43,3.33,-.22,-103.42,-72.73,129.17,.5,0,0,,0,,-103.42,-109.06944,.12856,.28,.25,,-76.79,0,0,.31,-.23,-.23,-.06,46.45,NSDQ,
CENTRAL GARDN-A,CENTA,-1.92,285.61999,391.92999,194.25999,1.36329,2.92079,7.32189,.43,0,.28,672.65002,182.32,-3.49001,39.61999,80.29,1189.72998,1653.63,9.83,470.01998,0,472.44,.93,9.66,,,,,,,,,,,,,,,65.14,,,1.55,-2.73,,,,1.46,,2.68239,.58,3.3169,.73,1.48,-36.58,,32.33,35.11,19.22,6.04,,9.12,9.58,87.01,.88,-.55,-103.42,-72.73,,,0,0,,0,,-103.42,-109.06944,,,.27,,,,,-.15,,,,46.45,NSDQ,
CENTURY ALUM CO,CENX,-40.31001,0,239.61,99.76999,.85053,6.6852,16.07099,-6.45,-.03,1.05,471.05999,247.75999,-39.84001,-16.75,19.45999,1414.79003,1454.31,11.08,1002.80902,.001,246.52,1.79,,3.93,0,2.33,33.33,0,87,15,0,66.67,0,0,3.7,13.27,27.48,,473.43099,1805.29101,6.98,14.32,-7.71,16.51,0,2.29,294.18423,-1.0809,-2.59,-1.71851,-8.14,-4.73,,7,72.07,90.06,44.06,7.76,.41,19.88,19.88,100,8.22,20.63,58.14,-10.94,201.88,1.5,0,0,,0,-221.74161,58.14,-13.19855,.30044,.72,-.78,195.24,-132.26,-10,3.8,.17,.21,.41,.38,-27.24301,NSDQ,
CERES INC,CERE,-32.51,0,.01999,.94999,.0906,710,3.85929,-1029.31,-6.2,10.66,32.43,3.99,-32.51,-32.47001,-30.56,6.23999,5.24,.69,33,0,.07999,.94,,,0,1,100,0,75,3,0,0,0,,-1.12,,,,,1.26499,-24.18,-2.38,0,-2.17,0,.07,15.78231,-103.68801,-93.26,-231.213,-108.87,-109.07,,,-55.25,-52.55,26.53,.52,-.26,.6548,2.1,8.68,-8.42,-11.5,4.14,39.91,30.92,-.47,0,0,,,-3.83508,4.14,-10.54063,-.53912,-.91,-1.32,152.94,89.66,,0,-.32,,,,-30.601,NSDQ,
CERNER CORP,CERN,398.35,451.54998,32.29,582.91998,.76498,18.36499,5.51609,13.67,.14,5.92,1761.69995,640.42999,588.04998,588.04998,851.58001,514.71997,2910.75,9.49,3167.65991,0,111.70999,5.73,25.6,2.09,2.28,1.95,63.64,4.55,63,9,-.05,31.82,0,-.17,-.41,30.16,35.47,38.89,847.95697,3377.02294,15.71,9.2,0,-.48,0,.61,2336.64648,10.751,10.46,13.375,13.1,13.55,23.58,16.99,-5.19,-2.33,9.67,46.06,.39,54.44,62.45,51.13,-2.16,3.99,-2.23,16.81,16.29,1.8,0,0,,0,-2.56043,-2.23,.28195,.01101,1.53,1.3,105.74,118.56,-1.97,-.32,.36,.02,.44,.03,729.96197,NSDQ,
CERUS CORP,CERS,-43.33001,2.66,13.06,6.11999,.4745,1.73979,6.31409,-45.55,-1.09,7.61,78.15,39.41999,-43.11001,-42.59001,-42.04001,22.6,39.66,.62,42.79,0,0,6.12,,,0,1,100,0,26,7,0,0,0,,-8.7,,,,10.487,38.423,23.64,8.07,-11.43,-30.81,0,2.09,137.95597,-43.97901,-22.4,-80.16101,-38.64,-42.89,,,-47.75,-41.01,.13,3.5,-.12,3.805,7.95,6.85,.93,-10.47,-54.28,-13.51,-19.05,-.38,0,0,,0,-92.15462,-54.28,-172.34446,0,-.5,-.6,75,109.09,-13.64,-9.09,-.13,0,-.13,-.06,-27.68701,NSDQ,
CERULEAN PHARMA,CERU,-17.14,0,0,.94999,,,,,-2856.67,,6.44,15.14,-17.14,-15.66,-15.47001,0,.01,,-94.29001,0,3.11999,,,,0,1,100,0,10,12,0,0,0,,0,,,,,,,-99.03,0,0,0,,81.29691,,,,,,,,,,-39.52,4.03,-.33,4.04,7.27,.31,-20.32,-23.05,,,-100.47,-1.65,0,0,,,,,22.44344,,-4.29,,,,0,0,-.36,-.89,-.41,-.82,-16.953,NSDQ,
CENTL EUR MEDIA,CETV,-277.65,1298.35998,0,184.57,.34757,,4.37109,-11.45,-.4,.47,451.04998,316.01,-298.54999,-186.69001,303.26998,625.65002,691.03,2.89,441,0,963.02001,.88,1.01,,0,3,0,0,,,0,100,0,,,,,,,728,-.85,-10.5,,,0,2.47,,-3.42231,-5.14,-4.1312,-5.53,-20.59,,,-34.68,-33.59,-8.6,2.12,,2.55,6.47,9.89,3.66,-9.89,66.13,-600,,,0,0,,0,65.54122,66.13,48.16868,,,-.48,,,,,.23,,,,340.57501,NSDQ,
CEVA INC,CEVA,6.67999,36.49,0,5.61999,.23443,,7.47529,13.8,.14,6.28,145.61,14.17,7.46999,7.46999,9.64,5.15999,48.9,9.05,190.88999,0,0,1.55,34.83,4.06,0,2.67,33.33,16.67,69,45,0,50,0,0,0,39.71,67.89,87.69,12.21,49.01399,7.14,-8.9,,0,0,.79,98.14452,5.8898,1.63,6.49189,3.57,1.8,7.89,16.73,-10.49,-7.82,.25,13.71,.05,14.03,18.77,6.32,-3.71,-9.43,-64.63,-47.37,-31.11,.35,0,0,,0,-33.87449,-64.63,-51.1696,.56495,.21,.26,-77.78,-466.67,0,0,0,.87,.07,.89,8.85499,NSDQ,
CAPITOL FEDL FN,CFFN,69.33999,0,0,5982.45996,.03413,,.05229,22.85,.22,5.44,6096.35009,4700.33984,105.55999,189.13,211.22999,36.81,321.84,10.54,1632.11999,0,2833.53002,1.12,19.15,4.38,0,3,0,0,205,33,0,100,0,0,1.25,20.74,21.89,23.18,52.10499,205.11,-7.25,-8.64,0,1.79,0,.55,563.89672,.7596,.8,1.53849,1.61,4.66,5.06,5,-7.5,-2.39,-.92,11.7,.14,11.82,13.17,8.16,-.25,-3.11,3.53,2.13,12.5,.57,.3,2.54,-23.88101,3.84,-.22059,3.53,-6.93868,.01851,.54,.49,102.38,130.3,3.7,2.38,.14,.04,.14,.07,91.235,NSDQ,
CARDINAL FINL,CFNL,25.51,10.14,373.98999,2044.28002,.03682,.03119,.05106,22.01,.18,4.99,2451.37011,2090.3601,37.68,46.43,49.75999,13.01,144.02,11.3,320.52999,0,475.23001,1.54,13.67,,0,2.67,33.33,0,149,50,0,66.67,0,,6.23,14.11,18.02,22.33,37.84899,148.304,7.22,-19.29,0,2.21,0,1.14,92.79633,1.03719,.81,3.8852,3.28,7.27,27.15,,-6.02,-3.17,6.09,16.13,.3,17.42,18.91,46.4,-2.79,-7.88,-52.22,-25.17,-14.45,1.24,.23,1.84,48.658,1.11,-49.53597,-52.22,-43.67411,.06564,.97,.91,96.77,272.73,-.59,7.14,.22,.09,.28,.15,38.59899,NSDQ,
CARLYLE GROUP,CG,104.09999,582.79998,0,802.09997,.12726,,7.0075,24.28,.02,.44,4092.30004,3025.5,1444,1444,1609,3214,4441.2,159.19,10377.40039,0,16283.40039,.21,1.26,4.92,0,1.17,100,0,150,7,0,0,0,-46.11,1.96,13.23,12.6,8.79,691.10998,3218.67504,,49.38,26.11,-3,0,2.11,700.73919,2.9426,3.38,3.3454,3.53,11.98,,2.56,-10.28,-7.92,8.36,24.75,.48,32.8,37.91,61.17,-5.53,-6.15,92.64,11.99,-26.67,2.48,1.33,1.95,,,89.42116,92.64,412.80789,.03691,2.6,2.86,65.75,94.12,-4.9,-8.86,.66,.28,.65,.07,1288,NSDQ,
COMPUGEN LTD,CGEN,-14.08,0,0,1.73,.08034,,2.944,-228.39,-3.97,71.63,53.20999,7.73,-13.58,-13.58,-13.21001,2.5,3.55,2.11,31.87999,0,0,3.96,,,0,1,100,0,12,17,0,0,0,,0,,,,2.105,8.44799,,1366.53,0,0,0,1.43,395.37438,-33.22601,-18.35,-46.71501,-28.08,-28.08,,,-8.86,-6.82,1.96,5.26,-.12,8.34,14.2,34.45,-3.7,-9.74,2.14,5.26,-16.67,-.43,0,0,,0,,2.14,-3.37739,,-.42,,,133.33,0,0,-.1,,-.15,,-13.71301,NSDQ,
CANCER GENETICS,CGIX,-12.37,.4,0,1.55999,.21156,,4.37309,-152.13,-1.87,13.81,51.88999,8.60999,-13.03,-10.65,-9.13001,4.92,6.61,4.71,45.45999,0,.3,2.16,,,0,1,100,0,,,0,0,0,0,0,,,,4.44999,14.6,,53.72,0,0,0,1.51,47.11122,,-32.19,,-44.3,-47.66,,40,-28.16,-26.34,-14.56,8.54,-.41,10.15,21,12.92,-6.11,-8.81,-432.9,,35.02,-1.31,0,0,,,,-432.9,-85.73575,-.1003,-1.41,-2.92,,71.93,0,0,-.39,-.21,-.36,-.06,-4.01301,NSDQ,
COGNEX CORP,CGNX,73.56999,96.41,25.69,53.00999,.52169,3.21399,7.3154,21.02,.21,9.31,332.04998,61.02,87.87999,87.87999,101.5,84.06999,353.89,7.59,643.90997,0,0,5.45,41.44,,0,1.67,66.67,0,74,3,0,33.33,0,,9.33,31.52,33.12,43.13,169.38299,479.67001,15.46,9.13,0,1.81,0,1.29,1198.39196,9.1884,11.89,10.18,11.96,13.05,54.4,,2.76,8.43,24.62,26.36,.5,41.4,43.11,89.79,7.28,2.65,28.85,6.41,50.6,1.31,0,0,16.93899,.92,10.22637,28.85,8.04817,.10399,1.25,.82,171.27,215.94,-5.75,19.2,.23,.24,.27,.08,87.193,NSDQ,
CITY HLDGS CO,CHCO,48.20999,75.13999,0,2592.47998,.05751,,.07592,27.81,.25,3.33,2678.3601,2922.92993,73.48999,74.43,68.9,12.35,196.54,25.3,387.61999,0,16.48999,1.63,13.89,,0,3,0,0,149,56,0,100,0,,-1.75,12.83,12.75,12.12,43.56499,175.41999,1.55,17.36,0,-3.46,0,1.2,161.7203,1.50269,1.6,12.52299,13.34,13.9,7,,-13.93,-11.07,-2.85,40.4,.78,41.2,49.21,9.08,-4.23,-11.28,27.3,19,-2.64,3.21,1.46,3.88,2.60409,4,47.50284,27.3,23.80585,.02178,3.23,3.26,97.19,88.35,-6.02,-5.18,.8,.03,.78,.04,46.66199,NSDQ,
CHURCHILL DOWNS,CHDN,54.9,498.76,0,58.97,.62426,,16.885,7.58,.07,1.93,160.71,213.19999,85.5,91.73,153.47999,606.15002,779.33,39.27,704.78002,0,369.19,2.26,12.67,1.93,0,1.8,60,0,90,15,0,40,0,0,-1.9,22.13,23.15,23.46,192.19999,850.5,15.66,6.41,-.73,-.5,0,.99,316.64031,4.4815,5.05,6.1508,5.97,9.51,37.42,12,-7.63,-1.1,2.2,80.01,.36,88.66,95.84,54.64,1.77,-2.99,.79,6.89,7.28,4.01,.87,.98,14.24899,1.14,-8.34584,.79,-5.78343,.12143,3.83,3.61,11.21,70.59,-9.52,-14.29,3.4,.67,.09,2.75,125.83399,NSDQ,
CHEFS WAREHOUSE,CHEF,16.98999,135.47,64.70999,76.41,2.20009,8.885,10.192,2.41,.03,.57,180.08999,62.59,28.79,36.56,44.52,501.17999,673.54,5.3,132.05999,0,140.83999,3.3,16.92,2.27,0,2.5,25,0,113,31,0,75,0,0,0,21.17,26.12,25.36,200.8,827.80499,28.14,40.24,0,0,0,2.13,146.08416,2.76939,4.7,-.04484,6.83,12.43,2202.09,11.5,-42.32,-39.99,-6.12,17.16,.17,17.5,29.48,2.76,-2.67,-11.17,-7.98,6.58,-17.28,.83,0,0,,0,9.32121,-7.98,17.09165,.03948,.67,.8,94.44,80.95,0,0,.21,0,.21,.05,25.868,NSDQ,
