Company Name,Ticker,% Ratio of Q1/prior Yr Q1 Actual Q(-3),Price/Book,Price/Sales,Current ROE (TTM),Current ROI (TTM),ROI (5 Yr Avg),Current ROA (TTM),ROA (5 Yr Avg),Market Value/# Analysts,Annual Sales,Cost of Goods Sold,EBITDA ,Price/Cash Flow,PEG Ratio,P/E (F2),% Ratio of Q1/Q0,This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),% Change EPS (F(-1)/F(-2)),Long-Term Growth Consensus Est.,5 Yr. Hist. EPS Growth,Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. (Mil.),Q(1) Consensus Sales Est. (Mil.),P/E (Trailing 12 Months),EBIT ,Pretax Income ,Preferred Equity,Current Liabilities ,Long Term Debt ,Current Assets ,Intangibles,Inventory ,Receivables ,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Book Value,Asset Utilization,Inventory Turnover,Net Income ,Cash Flow ,Net Income Growth F(0)/F(-1),12 Mo. Net Income Current/Last %,12 Mo. Net Income Current-1Q/Last-1Q %,5 Yr Div. Yield %,5 Yr Hist. Div. Growth %,Dividend ,Net Margin,Operating Margin 12 Mo,Turnover,Cash Ratio,Rank in Industry (of ABR),% Price Change (YTD),% Price Change (4 Weeks),% Price Change (1 Week),Beta,Price as a % of 52 Wk H-L Range,Last Close,Current Avg Broker Rec,% Rating Strong Buy or Buy,% Rating Strong Sell or Sell,Industry Rank (of ABR),52 Week Low,% Price Change (12 Weeks),Relative Price Change,Q0 Consensus Est. (last completed fiscal Qtr),52 Week High,Market Cap ,Last EPS Surprise (%),P/E (F1),% Rating Change - 4 Weeks,% Change F1 Est. (4 weeks),Div. Yield %,Avg Volume,Shares Outstanding ,Change in Avg Rec ,% Rating Hold,% Change Q2 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),Q1 Consensus Est. ,St. Dev. Q1 / Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,F0 Consensus Est.,F1 Consensus Est.,St. Dev. F1 / F1 Consensus,% Change Q0 Est. (4 weeks),12 Mo Trailing EPS,Last Reported Fiscal Yr ,% Rating Upgrades ,% Rating Downgrades ,Common Equity,Average Target Price,Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Reported Qtr ,Last Yr's EPS (F0) Before NRI,F2 Consensus Est.,Exchange,
ADEPT TECH INC,ADEP,,5.76,2.08,1.78,1.21,-23.16501,.75,-14.42801,39.59399,46.82,27.69,-8.9,,1.8,,,2633.3,-186.21,102.2,20,,-29.3,5.46,71.80999,17.39999,,-10.27001,-10.34001,7.76,12.25,.28,25.72999,2.52999,8.13,10.84,.87976,,2.57,,1.58,1.88569,3.66729,-10.02001,-6.93201,-169.35485,102.2,,0,,0,,.4,5.15959,,3,-46.12,-17.42,-1.62,2.04,32.07,9.1,1.67,66.67,0,130,3.27,-9.54,-48.42,.02,21.45,118.78,200,35.92,0,0,0,197446.95,13.05,0,33.33,0,0,,0,.08,,.08,,-.01,.25,.42209,0,-.04,20140630,0,0,9.57999,21,-400,-25,0,0,20140301,-.83,,NSDQ,
ADV EMISSIONS,ADES,-21.28,,1.73,,,-44.238,,-15.48201,232.40249,215.52,192.55,-4.39,,,7.19,,674.05,-532,,,,304.24,,478.5,132.69999,,-9.66,-11.12,0,49.38999,2.29999,25.29,0,0,11.02,,,,,,,,-13.07,-5.5,42.70056,,,0,,0,,,,,5,-21.11,-10.5,6.84,2.27,32.34,21.39,1.2,100,0,151,17.75,3.73,-24.48,.04,29,464.8,245.45,22.75,0,-9.18,0,158920.09,21.73,0,0,-26.19,-68.75,0,,.05,,.31,,-.16,.94,.90269,,-.43,20131231,0,0,-40.13001,31.1,-328.57,-87.36,.07999,.08,20130901,-.54,2.97,NSDQ,
ALCOBRA LTD,ADHD,413.33,5.41,,-7.35,-7.35,,-7,,237.557,,0,10.548,,,,,-138.46,-420,-72.4,,,,,,,,10.53999,10.53999,0,1.62999,0,50.20999,0,0,.10999,0,,13.6,30.8,3.22,,,10.53999,-10.54,767.5111,-72.4,,,,0,,,,30.73619,23,-3.22,-9.6,-3.22,.86,47.71,17.42,1,100,0,10,10.04,8.88,-7.35,-.58,25.51,237.56,223.91,,0,0,0,121763.25,13.64,0,0,0,0,0,,-.62,,-.71,,-.93,-2.48,,0,-.31,20131231,0,0,48.68,27,-28.57,,.56999,.57,20140301,-1.04,-2.55,NSDQ,
ANALOG DEVICES,ADI,109.8,3.15,5.83,15.01,12.69,15.642,11.24,13.52099,866.16766,2633.69,941.27001,952.83001,19.83,1.84,18.19,,10.49,.47,11.35,11.4,11.36,-2.5,3.92,2779.79809,715.32,21.86,842.41998,815.32,0,570.51,872.23999,5472.41992,312.66,283.32998,325.14001,15.03299,,9.87,9.1,15.78,.41938,3.20849,673.47998,777.61602,3.41661,11.35,,2.82,15.32699,1.32,.26,26.81,7.86679,8.52561,12,-2.55,-9.48,-3.26,1.2,39.01,49.63,2,50,0,50,45.69,-3.27,-6.71,.63,55.79,15591.02,5,20.99,0,.38,2.98,1685744,314.14,0,50,1.53,.09,1.29,0,.63,.01,.66,.06,2.11,2.36,.01717,0,2.27,20131031,0,0,4739.56982,57.89,2.08,4.89,.58999,.59,20140401,2.14,2.73,NSDQ,
ADAMAS PHARMA,ADMS,,2.95,,,,,,,132.912,71.1,0,52.25,7.59,,,,-67.09,,,,,89.74,,47.77,.18,,52.18999,52.11,19.13999,4.21,0,86,0,0,.11999,0,,18.27,20.43,5.39,,,50.91999,33.12799,187.19683,,,,,0,.72,,,20.39904,15,,-11.46,-5.97,,41.16,15.91,1.33,100,0,17,13,-17.86,,2.07,20.07,265.82,-644.44,13.77,0,0,0,82682.65,16.71,0,0,0,0,-303.75,,-.68,,-.8,,,1.15,1.53662,0,,20131231,0,0,56.61,33.33,,,-.67001,-.67,20140301,3.51,-.82,NSDQ,
AUDIENCE INC,ADNC,-11.11,1.37,1.43,-3.1,-3.1,,-2.65,,213.19599,160.55,71.26,7.53999,30.39,,,,-433.33,-79.45,-159.52,,,11.57,,164.90299,44.993,,4.13,4.13,0,17.23999,0,163.47999,0,13.42,5.67,0,,8.89,8.7,6.97,.80627,3.7028,2.06999,6.86499,-86.72226,-159.52,,,,0,.01,-3.29,15.25699,8.37528,5,-18.13,-20.52,-5.64,.83,0,9.53,2,50,0,135,9.53,-16.26,-21.62,-.16,13.35,213.2,4.35,,0,0,0,132629.05,22.37,0,50,0,0,,,-.02,,.01,,.02,-.5,,0,-.24,20131231,0,0,159.38,12,47.62,41.4,-.22,-.22,20140301,.15,0,NSDQ,
AUTOMATIC DATA,ADP,109.63,5.88,3.21,23.62,23.48,21.714,4.45,4.05469,2305.86547,12206.5,6649.60009,2489.69995,21.88,2.43,20.9,118.33,11.09,8.65,7.82,9.6,6.04,7.93,7.41,13109.15917,3047.24291,25.81,2093.3999,2084.30004,0,24732.80078,14.69999,26201,3695.80004,0,1598.30004,.18254,0,1.08,,13.73,.34983,,1405.80004,1803.09997,1.24595,7.82,1.1758,2.86,8.73279,1.875,,12.43,7.08349,,,.63,.89,-1.36,.85,89.49,81.31,2.63,26.32,10.53,,70.24,4.44,-3.66,.63,82.61,39199.71,0,23.31,.69,.03,2.36,1080480.25,482.1,-.02,63.16,.35,-.07,.71,0,.75,.02,.85,.01,3.14,3.49,.01059,0,3.15,20140630,0,0,6189.8999,81,-1.85,.62,.62999,.63,20140601,3.14,3.89,NSDQ,
AUTODESK INC,ADSK,47.14,5.31,5.29,12.14,9.05,13.897,5.98,8.4713,4052.23461,2273.9,274.29998,408.79998,28.83,8.57,54.81,,-44.97,-11.27,-10.04,8.98,17.66,-1.66,6.84,2391.77099,595.98602,46.39,279.89999,279.89999,0,1071.5,746.40002,2835,1073,0,423.70001,24.597,,2.32,2.65,10.06,.51629,,228.8,417.45599,-7.51819,-10.04,,0,,0,.1,11.58,6.7779,2.25039,39,6.02,-6.21,-4.73,1.85,82.63,53.35,1.62,69.23,0,34,34.27,13.95,1.5,.17,57.36,12156.7,0,76.95,8.69,0,0,1627797.38,227.87,0,30.77,6.9,0,-.34,1.13,.17,.04,.16,.05,1.17,.69,.07943,0,1.15,20140131,0,0,2261.5,60.82,33.33,15.26,.20999,.21,20140401,1.26,.97,NSDQ,
ADTRAN INC,ADTN,93.79,2.19,1.9,9.11,8.57,13.70199,6.85,11.92399,209.119,641.74,332.85,83.75,18.58,2.33,17.65,100.74,16.26,1.23,66.98,10,-14.71,3.4,5.45,667.96997,181.488,23.41,63.16999,60.84999,0,102.3,46.2,379.64001,3.49,90.11,104.05999,4.98299,.05,2.82,2.83,10.14,.82933,3.7323,45.79,69.06999,-3.11045,66.98,12.10448,1.37,0,.36,.07,8.26,5.2644,1.813,12,-17.66,-3.89,-.58,1.2,15.39,22.24,3,12.5,12.5,24,21.29,2.44,-21.17,.25,27.47,1254.71,8,23.33,6.9,-6.35,1.62,594582.5,56.42,0,75,-12.79,-9.33,-5.26,0,.27,.03,.24,.15,.7,.95,.05167,0,.95,20131231,0,0,604.59997,23.36,12.5,25.58,.27,.27,20140601,.82,1.26,NSDQ,
ADDUS HOMECARE,ADUS,108,2.07,.85,9.27,9.23,7.526,6.59,5.4639,121.2275,265.94,198.19999,17.95999,18.67,1.42,17.64,108,8.33,11.63,-59.81,15,22.52,8.85,.87,302.67999,77.26,23.06,15.64,14.97,0,46.63,0,91.48,68.77999,0,61.34999,0,,2.09,1.96,10.68,1.7209,,19.13999,12.94099,150.85188,-59.81,-59.35265,0,,0,.07,3.81,5.0275,.64615,16,-1.38,-5.71,-3.02,0,21.15,22.14,3,0,0,175,19.45,3.02,-5.59,.24,32.17,242.46,4.17,21.29,0,0,0,40048.6,10.95,0,100,0,0,0,0,.27,.1,.31,.11,.94,1.04,.08158,0,.96,20131231,0,0,113.84999,25,-5.26,3.82,.25,.25,20140601,.96,1.25,NSDQ,
ADVENT SOFTWARE,ADVS,115.91,,4.27,,24.86,11.87699,11.65,5.94129,835.3095,382.96,119.72,71.52999,24.69,,29.38,87.93,28.48,23.44,87.32,,17.17,6.73,9.17,401.406,102.02899,32.79,46.18999,38.90999,0,253.67999,285,147.64999,235.21,0,58.70999,,-3.03,.6,.58,-1.77,.70801,,28.79999,67.091,-5.29432,87.32,-21.34202,.01,,0,.08,10.33,7.04899,.35059,42,-7.13,-2.99,1.82,1.12,68.03,32.46,2,50,0,34,25.99,12.32,-11.09,.25,35.5,1670.62,16,31.98,0,-.49,.4,194401.8,51.47,0,50,-7.14,-5.56,-6.36,,.25,.03,.26,.05,.74,1.01,.00696,0,.99,20131231,0,0,-111.81,35.5,0,9,.28999,.29,20140601,.79,1.11,NSDQ,
ADVAXIS INC,ADXS,,1.9,,-123.13,-120.65,,-84.94,-294.01502,54.73799,,0,-19.45001,,,,,58.55,,-2.61,,,,,2.25,,,-19.73,-20.71,0,4.92999,0,20.79999,2.51999,0,.00818,0,,8.99,4.22,1.49,,,-19.98,-19.70001,-65.67164,-2.61,,0,,0,,,,4.2174,7,-33.02,-8.97,-2.07,1.15,6.05,2.84,1,100,0,26,2.51,5.97,-35.87,-.25,7.96,54.74,56.98,,0,0,0,94955.85,19.27,0,0,0,0,0,,-.25,,-.2,,-2.34,-.97,,0,,20131031,0,0,18,13.33,0,,-.37001,-.37,20130701,,-1,NSDQ,
AEGION CORP,AEGN,125,1.19,.69,6.94,4.84,6.08109,3.7,4.67189,174.01058,1091.42,844.39001,112.48,9.79,1.19,12.34,161.76,21.42,-9.29,-10.23,12.5,5.1,6.17,11.25,1356.74804,365.34799,17.49,72.16,59,0,220.44999,366.60998,603.84997,543.46002,58.75999,231.77,33.158,.48,2.55,2.47,19.11,.89222,16.33399,44.34999,89.771,-15.78049,-10.23,-5.36908,0,,0,.04,4.32,5.1064,1.42127,8,4.66,-3.9,3.24,1.8,56.35,22.91,1.8,60,0,139,19.58,-3.25,.2,.35,25.49,870.05,-2.86,14.86,-8,-1.15,0,275672.66,37.98,0,40,.19,-.9,-.57,0,.55,.03,.54,.09,1.26,1.54,.0217,-.57,1.31,20131231,0,0,726.91998,26.6,30,1.79,.34,.34,20140601,1.27,1.86,NSDQ,
AEGERION PHARMA,AEGR,33.89,9.19,9.55,-37.4,-43.47,-92.628,-30.15,-190.38001,141.56057,48.55,5.01,-59.92,,,14.22,44.15,56.29,15.12,29.84,,,,,179.227,50.47,,-62.29001,-63.01,0,24.84,4.01,140.50999,0,1.63999,7.57,2.8096,,5.39,5.59,3.66,.53706,3.53719,-63.35,-60.988,-1.75073,29.84,11.27403,0,,0,-1.3,-68.78,12.01599,5.28582,106,-52.64,3.42,15.54,1.07,9.5,33.61,1.25,87.5,0,12,26.93,1.88,-54.66,-.42,97.24,990.92,21.43,,0,-9.08,0,1145208.5,29.48,0,12.5,-26.67,-25.93,-14.24,,-.15,-.51,.11,.91,-1.99,-.96,-.1971,-9.83,-1.44,20131231,0,0,113.02999,70.13,-54.29,7.34,-.33001,-.33,20140601,-2.19,2.36,NSDQ,
ADV ENERGY INDS,AEIS,105.17,1.45,1.2,15.89,15.89,7.74389,10.9,5.4029,345.7265,547,336.85998,33.15,8.21,10.27,10.45,,-17.42,158.33,51.78,1.28,10.98,21.04,21.71,579.25,145.05,9.89,14.27999,14.27999,0,122.34999,0,416.95999,177.21,109.76999,135.8,0,,3.29,2.51,11.6,.89961,3.19429,32.08,81.91799,55.8795,51.78,,0,,0,.06,12.12,4.10629,1.40081,7,-26.42,-12.62,-4.38,1.55,0,16.82,2.8,20,20,57,16.82,-2.49,-29.56,.25,28.88,691.45,0,13.14,-7.69,-.78,0,383500.34,41.11,0,60,-2.6,0,-1.53,0,.31,.16,.38,.09,.41,1.28,.12153,0,1.7,20131231,0,0,464.45999,24.75,18.75,29.69,.4,.4,20140301,1.55,1.61,NSDQ,
AERIE PHARMACT,AERI,,6.63,,,,,,,415.53799,,0,-27.87001,,,,,64.69,74.25,,,,,,,,,-31.14,-31.14,0,3.48,0,70.26,0,0,0,0,,17.83,20.19,2.67,,,-31.14,-17.629,-108.01603,,,,,0,,,,20.18965,85,-1.28,-29.95,-16.92,,44.21,17.73,1.67,100,0,10,10.4,28.85,-5.49,-.37,26.98,415.54,20,,0,0,0,386604.16,23.44,0,0,0,0,0,,-.4,,-.43,,-2.02,-1.49,,0,,20131231,0,0,66.97,31.67,-95.24,,-.28001,-.28,20140301,-4.22,-2.11,NSDQ,
AETERNA ZENTARS,AEZS,,4.06,.86,-11.74,-11.74,-295.723,-3.09,-23.76301,,6.18,.05,-24.79001,,,,,,10.68,108.1,,,-81.66,,,,8.43,-25.73,-27.24,0,7.23999,0,45.65,10.6,0,1.95,0,,8.39,6.31,.29,,-5.2542,6.80999,-26.3,133.36599,108.1,,0,,0,1.1,,,6.03591,,-14.49,-9.92,-.84,1.31,22.39,1.18,,,,,1.03,10.28,-18.14,-.26,1.7,66.69,150,,,,0,780650.31,56.51,,,,,,,,,,,,,,,.14,20131231,,,17.05999,,232.14,131.98,-.08,-.08,20140301,-.92,,NSDQ,
ALMOST FAMILY,AFAM,122.62,1.02,.56,5.31,4.68,12.19499,3.73,10.04699,55.36524,357.81,191.25999,17.38999,15.32,1.99,15.84,,12.8,-31.67,-59.92,8.5,-17.82,2.66,5.12,487.225,122.15299,19.37,14.52999,14.36999,0,51.13999,56,95.69999,247.64999,0,61.65,20.811,,1.92,1.87,22.9,1.2881,,8.22,14.392,-52.43056,-59.92,,0,,0,.02,2.89,6.89029,.66581,15,-27.5,.82,.43,1.44,32.29,23.44,3,16.67,16.67,175,18.58,10.05,-30.59,.34,33.63,221.46,17.24,16.89,0,0,0,67045.65,9.45,0,66.67,0,0,-.67,0,.34,.09,.38,.1,1.14,1.39,.0632,0,1.21,20131231,0,0,214.05,24.33,15.38,11.97,.34,.34,20140301,1.23,1.48,NSDQ,
AFFYMETRIX INC,AFFX,80,2.34,1.83,4.74,2.5,-4.13641,2.49,-3.53131,125.1266,330.4,149.36,51.40999,10.09,2.77,45.26,57.14,52,150,88.06,20.4,,11.76,-.47,341.46499,83.84799,50.59,-2.45001,-15.16,0,76.94,131.69999,175.72999,292.70001,58.04999,50.86,32.55099,,2.22,1.53,3.67,.66275,2.38989,-16.32,61.28599,-52.66605,88.06,22.5569,0,,0,-.05,3.04,6.80439,.86846,168,.35,-8.12,2.75,.77,84.24,8.6,3.2,20,40,12,3.79,16.69,-3.93,.03,9.5,625.63,133.33,56.58,-1.05,-2.56,0,680954.19,72.75,0,40,0,0,-3.06,0,.04,.35,.05,.49,.15,.15,.24351,-5.56,.17,20131231,0,0,271.54,8.17,50,65.47,.07,.07,20140601,.1,.19,NSDQ,
ATLAS FINL HLDG,AFH,159.38,2.06,2.04,10.36,9.02,3.841,2.68,1.26069,81.83799,74.03,67.36,8.09,18.05,,10.01,,64.06,-27.27,113.87,,,73,,108.25,28.45,18.28,6.25,6.25,2,155.58,0,67.58999,.74,0,57.77999,0,,.46,.43,6.94,.36011,,6.17999,6.96,95.56961,113.87,,,,0,.08,7.44,1.3434,.06305,36,-2.66,-6,-1.04,2.2,74.93,14.26,2.33,33.33,0,203,9.09,-2.86,-6.81,.26,15.99,163.68,0,13.58,0,0,0,50476.8,11.48,0,66.67,0,0,0,,.25,.03,.31,.11,.66,1.05,.06734,0,.78,20131231,0,0,61.68999,15,4.76,3.45,.21999,.22,20140301,.64,1.42,NSDQ,
ALLIANCE FIBER,AFOP,103.33,2.85,2.63,26.4,25.25,10.53199,21.31,8.88959,247.15499,76.07,46.95,21.88999,11.93,,10.37,93.94,38.2,161.76,40.5,,45.99,63.2,18.85,97.23699,24.19899,11.74,17.79999,17.79999,0,18.79,0,76.65,0,10.63,11.56,0,,4.27,3.51,4.7,.92101,5.34619,18.79999,20.56299,95.02072,40.5,85.77239,.4,,.15,.25,22.11,7.22819,2.89835,3,-11.1,-32.97,-21.66,1.51,16,13.38,2.5,50,0,29,11.55,-26.56,-14.89,.32,22.99,247.15,3.13,10.88,-66.67,-4.65,1.12,735422.5,18.47,1,50,-9.09,-6.06,-5.84,,.31,,.3,,.96,1.23,,0,1.14,20131231,0,0,81.16999,20,-21.21,-9.99,.33,.33,20140601,.89,1.29,NSDQ,
AMTRUST FIN SVC,AFSI,136.22,1.99,.98,21.39,15.02,16.01199,2.91,3.28819,1072.14025,2697.9,2342.13989,482.41,9.35,.62,8.59,,34.42,34.62,52.06,15,16.59,44.65,39.8,3622.54394,921.802,10.98,410.36999,375.67999,115,8522.45019,560.16998,4596.27978,665.39001,0,3551.62011,24.60099,,.49,.54,21.45,.30937,,290.85998,340.617,63.42285,52.06,,1.66,32.534,.53455,.11,9.41,.9484,.12257,9,30.44,-.61,.68,.65,79.7,42.64,1.4,80,0,203,28.62,-1.39,24.88,1,46.21,3216.42,33.33,9.36,0,0,1.88,381798.59,75.43,0,20,0,0,.25,0,1.07,.09,1.14,.12,3.15,4.56,.05975,0,3.88,20131231,0,0,1472.5,47,28.75,21.85,1.24,1.24,20140301,3.39,4.96,NSDQ,
AGENUS INC,AGEN,66.67,3.24,41.71,-108.93,-108.92,-176.148,-33.7,-65.228,205.37899,3.05,.52999,-27.07,,,,133.33,58.93,-119.61,24.62,,,-80.92,10.48,5.21,.70999,,-27.65,-30.07,0,10.28999,0,28.17,2.56999,0,.0012,0,,5.24,2.74,1.02,.0817,142.544,-30.07,-29.49301,-165.63605,24.62,-2.79601,0,,0,-9.88,-412.41,52.52899,2.73749,145,25,-16.46,-2.65,1.76,33.33,3.3,2,50,0,12,2.4,32.53,19.67,-.11,5.1,205.38,-9.09,,0,-31.43,0,807697.06,62.24,0,50,-33.33,-33.33,-51.02,,-.16,,-.16,,-1.23,-.46,,0,-.51,20131231,0,0,-4.4803,,106.25,35.47,-.12,-.12,20140601,-1.12,-.74,NSDQ,
ARGO GROUP INTL,AGII,107.84,.83,.88,5.87,4.81,2.0648,1.38,.57201,260.70559,1470.2,1251.09997,239.5,10.61,,12.5,,15.95,130.54,130.43,,-11.63,10.02,-1.66,1494.30004,381.875,15.14,199.89999,179.69999,0,4530.10009,337.1,2146.60009,239.8,0,1637.59997,17.44799,,.44,.47,60.16,.22686,,143.19999,125,173.80496,130.43,,1.32,11.03699,.58635,.1,6.08,.91881,.11235,18,7.14,-2.92,-4.49,.65,74.3,49.81,2,60,0,203,40.47,9.64,2.57,.8,53.04,1303.53,19.23,14.04,0,-.28,1.45,131028.6,26.17,0,40,0,-.25,-.05,,.8,.17,1.02,.09,3.03,3.55,.02965,-.99,3.29,20131231,0,0,1563,52.75,5.13,11.56,.93,.93,20140301,3.06,3.98,NSDQ,
AGIOS PHARMACT,AGIO,16.79,10.49,49.42,-57.63,-41.89,,-24.91,,684.2135,25.55,0,-37.1,,,,,35.34,-139.83,-95.73,,,1.76,,36,9,,-38.82,-38.82,0,36.93,0,169.74,0,0,.46999,0,,5.06,4.6,3.84,.15525,,-39.40001,-37.68701,-96.01991,-95.73,,,,0,-1.54,-160.44,14.61299,4.58353,15,68.27,-8.86,4.65,,72.49,40.3,1,100,0,26,16.06,9.54,61.09,-.45,49.5,1368.43,-5.41,,0,-10.69,0,340552.59,33.96,0,0,-14.5,-23.68,-15.55,,-.47,-.06,-.5,-.03,-1.62,-1.83,-.09274,-5.22,-4.06,20131231,0,0,131.47999,62.5,-17.65,-247.73,-.39,-.39,20140301,-2.83,-1.61,NSDQ,
AMER CAP AGENCY,AGNC,122.13,.95,7.24,12.14,10.2,14.857,1.36,1.6747,2039.12072,1657,536,1996,4.95,2.81,9.02,85.63,-40.95,-28.83,-130.85,5,-9.58,3.76,85.85,1255.36206,327.277,7.84,1272,1272,167,64565,910,4777,0,0,2533,9.02149,,.19,.07,24.41,.01473,,1259,1794,-1.40956,-130.85,2.66512,17.88,-14.58101,3.75,.76,83.56,.19911,.03475,23,19.85,1.65,-1.41,.27,75.58,23.12,2.5,33.33,0,138,19.13,.43,14.74,.67,24.41,8156.48,29.85,14.03,-3.45,-4.77,11.25,2929674.25,352.79,.14,66.67,8.62,7.08,.87,0,.75,.18,.77,.17,4.14,1.65,.14671,-23.09,2.95,20131231,0,0,8530,23.38,4.41,6.88,.87,.87,20140601,2.79,2.56,NSDQ,
AGILE THERAP,AGRX,,,,,,,,,58.09999,,0,-12.80001,,,,,.31,,,,,,,,,,-12.81001,-14.32,0,6.84,9.76,2.25999,0,0,0,,,.33,.33,,,,-14.32,-14.311,38.43508,,,,,0,,,,.3304,1,,-30.01,-6.86,,13.89,6.25,1.25,100,0,17,5.54,,,-.43,10.65,116.2,,,0,0,0,40412.2,18.59,0,0,0,0,0,,-.44,-.15,-.48,-.29,,-1.59,-.10261,0,,20131231,0,0,-71.44001,16.25,,,.00999,.01,20140301,-1.59,-1.14,NSDQ,
APPLIED GEN TEC,AGTC,,,,,,,,,75.08266,.94,0,-4.52,,,,,-7.97,,,,,-12.78,,1.44,.14,,-4.80001,-4.99,58.09999,3.46,0,23.51,1.62999,0,.14,0,,11.79,,,,,-4.99,-4.71001,-159.89583,,,,,0,,,,,6,,-32.69,2.5,,22.98,16,1,100,0,12,11.32,41.34,,-.29,31.69,225.25,,,0,0,0,95611.05,14.08,0,0,0,0,0,,-.3,-.05,-.31,-.05,-1.17,-1.26,-.03905,0,,20140630,0,0,-36.18001,25.75,,,-23.07,-23.07,20140301,-1.2,-1.39,NSDQ,
ALLIANCE HLDGS,AHGP,118.32,4.7,1.87,37.41,14.95,16.18799,15.07,12.024,2099.99389,2205.2,1433.43005,684.94,8.42,1.88,13.91,83.47,19.44,12.03,48.76,8,19.43,8.42,14.94,2334.65405,584.466,16.28,420.02999,392.98999,0,212.97,848.38,326.63,0,44.20999,156.32,47.42399,,1.36,1.33,14.94,1.05449,22.839,233.86999,498.78298,19.28491,48.76,16.71632,5.44,16.777,3.095,.11,10.97,12.647,.5921,11,19.67,9.01,-.18,.44,90.26,70.16,2.33,33.33,0,224,53.11,5.98,14.56,1.05,72,4199.99,22.86,15.02,22.22,8.23,4.83,41273.2,59.86,0,66.67,9.43,-.77,1.99,0,1.08,.02,1.16,.03,3.83,4.67,.01211,0,4.31,20131231,0,0,855.59002,79,14.14,10.94,1.28999,1.29,20140601,3.91,5.04,NSDQ,
ALTRA HOLDINGS,AIMC,109.38,2.96,1.09,17.23,9.41,7.43039,6.69,5.53789,212.13749,722.22,506.82998,101.84999,11.15,1.06,14.15,91.15,11.28,7.89,62.68,16.15,31.97,-1.33,12.86,825.82702,198.533,18.02,69.91,59.33,0,140.07,261.33999,349.20001,223.1,143.66,114.11,47.304,.86,2.57,1.47,10.3,1.12759,4.0542,40.27,75.833,65.78838,62.68,54.96745,.49,,.37999,.06,6.03,6.9503,.65274,12,-8.39,-17.17,-13.28,2.19,51.46,31.35,1.75,75,0,131,24.46,-10.74,-12.29,.49,37.85,848.55,-2.04,17.18,0,-7.59,1.53,184351.3,27.07,0,25,-12.93,-11.91,-4.42,-9.22,.44,.03,.43,.05,1.63,1.83,.01449,0,1.74,20131231,0,0,269.32998,38.5,-4,1.19,.47999,.48,20140601,1.64,2.21,NSDQ,
APOLLO INV CP,AINV,88.89,.98,5.27,10.49,6.43,6.6208,6.05,6.1831,200.9931,381.35,0,136.17999,,1.92,9.51,,-.79,8.54,74.93,5,-11.2,14.87,.47,411.64801,102.271,9.76,339.5,270.86999,0,214.25999,1372.26,130.35,0,0,116.65,40.07899,,.61,.61,8.67,.11456,,270.86999,-2.07201,159.28016,74.93,,10.73,-9.62431,.8,.71,52.77,3.9112,.06394,14,.18,-1.96,-2.97,1.25,52.17,8.49,1.82,63.64,0,142,7.77,7.33,-4.09,.22,9.15,2009.93,-1.04,9.61,9.09,0,9.42,1901934,236.74,0,36.36,.5,0,.21,0,.22,.04,.22,.06,.9,.88,.04499,0,.87,20140331,0,0,2051.6101,9.14,-4.76,4.8,.20999,.21,20140301,.89,.89,NSDQ,
AIR METHODS CRP,AIRM,211.54,5.16,2.13,23.55,8.79,10.168,6.93,7.3628,491.8345,881.6,567.71002,201.46,13.37,1.14,16.24,,53.31,-31.12,5.24,17.33,29.61,3.62,16.27,1015.64001,288.30499,24.04,121.80999,101.48999,0,162.30999,608.27001,340.54998,216.33,53.11,250.66999,62.041,,2.15,1.77,9.74,.76682,11.29899,62.33,146.694,-33.08642,5.24,,0,,0,.07,9.03,3.73539,.22654,,-13.75,-6.27,-1.78,1.04,66.29,50.25,1.75,75,0,,33.59,-5.4,-17.43,.61,58.72,1967.34,-6.67,19.75,2.78,-.39,0,245707.05,39.15,0,25,0,1.15,-.32,0,1.1,.07,.56,.13,1.75,2.55,.0671,-3.54,2.09,20131231,0,0,367.95001,60.5,-22.45,-7.39,.28,.28,20140301,1.66,3.1,NSDQ,
AIXTRON AG-ADR,AIXG,-333.33,2.5,5.91,-8.52,-8.93,2.7455,-6.92,.70555,506.44165,251.35,252.71,-89.53,,,144.54,76.92,65.93,28.19,81.48,,37.85,-15.65,-16.98,256.397,65.347,,-126.47001,-126.47001,0,126.73999,0,545.21002,89.22,87.91,43.88,0,,4.14,3.61,5.51,.36366,2.0964,-134.17,-101.91101,28.26667,81.48,81.37528,1.8,54.32799,0,-.53,-19.66,7.04809,3.26195,16,-7.09,-9.04,-1.89,2.29,10.74,13.49,2.83,16.67,16.67,103,12.98,-8.64,-11.06,-.1,17.73,1519.32,-30,,0,-11.29,0,41079.85,112.63,0,66.67,-13.64,-15.39,1300,,-.1,-.44,-.08,-.42,-1.22,-.46,-.16979,0,-.43,20131231,0,0,618.19,14,-50,,-.13,-.13,20140601,-1.35,.09,NSDQ,
