Company Name,Ticker,F1 Consensus Est.,% Change LT Growth Est. (4 weeks),Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Yr's EPS (F0) Before NRI,Last Reported Fiscal Yr ,12 Mo Trailing EPS,Earnings ESP (Expected Surprise Prediction),% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),% Change Q2 Est. (4 weeks),St. Dev. F1 / F1 Consensus,F2 Consensus Est.,Beta,% Price Change (1 Week),% Price Change (12 Weeks),52 Week Low,Price as a % of 52 Wk H-L Range,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),Rank in Industry (of ABR),Industry Rank (of ABR),% Price Change (YTD),Avg Volume,Shares Outstanding ,Average Target Price,Market Cap ,Q0 Consensus Est. (last completed fiscal Qtr),St. Dev. Q1 / Q1 Consensus,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q2 / Q2 Consensus,F0 Consensus Est.,Relative Price Change,% Price Change (4 Weeks),% Rating Change - 4 Weeks,% Rating Strong Sell or Sell,% Rating Hold,Exchange,% Rating Strong Buy or Buy,Current Avg Broker Rec,Last Close,52 Week High,% Rating Upgrades ,% Rating Downgrades ,Change in Avg Rec ,Long-Term Growth Consensus Est.,Annual Sales,Net Income ,Pretax Income ,EBIT ,Net Income Growth F(0)/F(-1),12 Mo. Net Income Current/Last %,Cash Flow ,12 Mo. Net Income Current-1Q/Last-1Q %,Div. Yield %,5 Yr Div. Yield %,5 Yr Hist. Div. Growth %,Dividend ,EBITDA ,Cost of Goods Sold,Current ROI (TTM),Last Yrs Growth (F[0] / F [-1]),P/E (Trailing 12 Months),P/E (F1),P/E (F2),Price/Cash Flow,PEG Ratio,Price/Book,Market Value/# Analysts,Current ROA (TTM),ROI (5 Yr Avg),ROA (5 Yr Avg),Current ROE (TTM),Net Margin,Operating Margin 12 Mo,Turnover,Cash Ratio,5 Yr. Hist. EPS Growth,% Ratio of Q1/prior Yr Q1 Actual Q(-3),This Yr`s Est.d Growth (F(1)/F(0)),Current Ratio,Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,F(1) Consensus Sales Est. (Mil.),Q(1) Consensus Sales Est. (Mil.),% Ratio of Q1/Q0,% Change EPS (F(-1)/F(-2)),Quick Ratio,Price/Sales,Debt/Equity Ratio,Inventory Turnover,Asset Utilization,Receivables ,Inventory ,Intangibles,Current Assets ,Current Liabilities ,Long Term Debt ,Preferred Equity,Common Equity,Book Value,Debt/Total Capital,# of Brokers in Rating,
BAKER-HUGHES,BHI,4.2,0,3.37,6.33,3.8,.92,.92,2.62,20131231,3.19,0,-.26,-.25,-.33,.01995,5.59,1.57,-2.44,-11.06,48.64,66.08,.37,-.86,22,70,19.96,2844159.25,435.04,82,28839,.89,.03,1.15,1.31,.04,2.77,11.83,-4.81,3.63,0,33.33,NYSE,66.67,1.71,66.29,75.35,0,0,-.06,10,22364,1096,1715,1949,-16.3997,27,2863,-3.50292,1.03,1.21,0,.6,3647,18553,6.43,-16.56,20.78,15.79,11.85,3.18,1.58,1.58,1696.41186,5.02,7.01849,5.50769,7.81,.05,6.04,4.4176,.4965,10.43,142.14,60.26,2.51,6.86,21.38,24484.75,6285.46386,125.14,27,1.62,1.24,.21,4.80109,.83126,5138,3884,6849,11295,4578,3882,0,17912,41.86,17.606,24,
BERKSHIRE HILLS,BHLB,1.76,,7.32,5,5.62,.43999,.44,1.87,20131231,1.69,,0,0,0,.01732,1.89,.86,-2.83,1.65,22.32,33.73,.4,0,17,191,-11.92,101284.5,25.17,26,604.51,.41,.05,.45,.45,.03,1.83,-17.89,-3.42,0,0,50,NYSE,50,2,24.02,27.36,0,0,0,,261.97,41.13999,58.24,72.37,23.99035,-30.72,40.345,-21.78582,3,3.05,3.4268,.72,66.08,20.85,4.93,-5.56,14.21,13.62,12.69,14.91,,.87,201.50366,.72,2.8557,.50761,6.2,.16,16.79,.05986,.01914,21.63,103.88,-5.71,.86,13.9,17.64,230.42999,59.324,101.52,-30.72,.9,2.41,.22,1.11,.0428,4147.20019,15.84,270.66,4253.41015,4721.02978,191.58999,0,678.05999,27.5,18.22599,4,
BHP BILLITN LTD,BHP,5.21,0,,,,,,5.32,20140630,,,-3.31,.06,,.09996,5.12,1.59,-6.11,-11.17,61.28,1.55,,,37,119,-9.87,1936321.75,1605.85,69.23,98711.35,2.5,,,,,5.26,-15.98,-11.08,1.82,0,40,NYSE,60,1.8,61.47,73.5,0,0,0,7.14,67206,13832,17872,19394,24.8939,,22918,,4.03,2.8,9.90579,2.35999,26339,9445,,20.36,,11.81,12.01,4.31,1.65,1.16,32903.78515,,,,,.21,,,.52823,,,-2.13,1.23,1.88,,69154,,,,.9,,.36,,,6741,6013,5439,22296,18064,30327,0,85382,53.17,26.20999,5,
SOTHEBYS,BID,1.82,0,-12.5,-12.5,-8.44,1.25999,1.26,1.78,20131231,2.03,,-1.34,0,-2.74,.01554,2.51,2.54,-6.87,-17.45,35.8,0,3.19,0,,,-32.71,749373.88,68.99,46,2469.84,1.44,-.19,-.4,1.28,.08,2.04,-37.27,-14.25,0,0,40,NYSE,60,1.8,35.8,53.51,0,0,0,18.67,853.68,130,185.69,228.39999,20.04801,28.4,149.95399,51.36682,1.12,.83,20.534,.2,255.19,114.9,8.83,4.09,17.64,19.67,14.26,16.4,1.05,2.81,1234.92102,5.61,8.9694,5.5693,14.76,.15,15.15,1.45799,.84688,5.39,90.91,2.25,1.61,11.08,11.19,912.17498,86.22599,-31.75,28.4,1.56,2.63,.98,.85763,.37044,812.58001,192.13999,14.85,1972.27001,1142.47998,515.14001,0,1139.66003,12.72,49.50799,5,
BAIDU INC,BIDU,5.98,0,31.45,23.4,11.73,1.62999,1.63,4.9,20131231,5.49,,0,0,0,.04226,8.47,1.92,-.36,12.29,143.51,83.92,0,0,16,37,20.75,3061338.5,350.6,242.66,75305.38,1.24,.05,1.61,1.52,.11,5.03,12.56,-.6,0,0,15.38,NSDQ,84.62,1.31,214.79,228.45,0,0,0,30.33,5215.9,1710.69995,2012.81994,2086.66992,1.93051,14.53,1998.73803,5.85616,0,0,,0,2367.84008,1895.01,19.58,2.3,39.12,35.94,25.36,37.64,1.19,10.07,6845.94335,16.11,39.756,31.236,28.66,.33,29.87,16.39399,3.69881,64.81,114.3,21.95,3.96,45.7,67.97,7645.45214,2084.49804,98.88,14.53,3.9,11.64,.52,,.53938,366.85,0,3385.46997,7107.8999,1822.48999,2852.85009,0,6717.41992,21.33,34.15,13,
BIG LOTS INC,BIG,2.49,4.32,3.33,13.64,-20.76,.31,.31,1.75,20140131,2.04,-25,-.03,.21,.78,.01529,2.98,.95,-6.34,-3.59,25.71,83.65,0,-48.49,4,175,37.29,981251.38,56.05,51.64,2484.65,.3,-.53,-.04,1.75,.03,2.2,27.98,-7.59,0,0,23.08,NYSE,76.92,1.54,44.33,47.97,0,0,0,14.5,5301.91,125.29,185.88,189.21,-29.26265,-40.23,171.501,-42.69982,1.53,0,,0,259.26,3236.60009,12.15,-41.47,21.73,17.79,14.89,15.09,1.23,2.99,207.05433,6.58,19.67,10.805,13.99,.02,2.24,,.35692,-1.14,27.84,42.38,1.76,-1.82,3.16,5210.47119,1120.69604,-14.37,-40.23,.36,.47,.07,3.45219,2.9351,0,914.96002,0,1121.06005,577.44,77,0,901.41998,14.83,6.42689,13,
BIOGEN IDEC INC,BIIB,12.66,0,24.64,-5.04,8.48,3.49,3.49,8.93,20131231,10.61,,0,0,0,.05192,16.06,1.2,1.64,2.31,223.85,84.62,,0,135,10,18.84,920989.5,236.15,378.77,78456.81,2.8,.14,3.22,3.4,.11,8.84,10.78,-3.13,0,0,29.41,NSDQ,70.59,1.65,332.24,351.94,0,0,0,20.96,6932.2,1862.33996,2480.57006,2480.57006,34.94923,33.05,2660.87988,27.35323,0,0,,0,3012.31005,857.71997,26.66,36.75,31.31,26.23,20.69,29.49,1.25,8.24,39228.40625,20.94,20.721,16.673,28.51,.27,30.28,8.93309,.96772,21.07,137.61,41.83,2.05,25.66,12.51,9505.12109,2409.73999,92.26,33.05,1.44,9.4,.06,1.5993,.69163,824.40002,659,5707.56005,3184.92993,1758.27001,592.42999,0,8620.83007,40.33,5.77349,17,
PROGRESSV WASTE,BIN,1.17,0,57.69,5,16.06,.40999,.41,1.1,20131231,1.18,,0,0,-.62,.05272,1.21,.67,-2.93,-.35,22.32,68.32,2.27,-.25,8,145,2.99,219835.75,114.74,28.39,2924.82,.26,.03,.28,.29,.06,1.05,-3.99,1.15,3.97,8.33,25,NYSE,66.67,1.83,25.49,26.96,0,0,0,12,2026.04,117.97,176.25999,237.00999,25.03444,16.64,423.64199,12.71192,2.17,2.31,10.883,.55436,533.5,1249.25,4.82,13.4,21.6,21.72,21.11,6.93,1.81,2.23,487.47082,4.03,4.2487,3.59759,10.59,.06,6.82,8.63099,.23023,11.67,105.29,6.66,1.02,6.82,17.05,2012.96899,522.66699,69.34,16.64,1,1.46,1.15,,.59086,232.13999,0,1125.42004,301.66,301.95001,1542.28002,0,1289.56994,11.41,53.45999,12,
BIND THERAPEUTC,BIND,-1.55,,-4.08,-47.06,,-.51,-.51,-5.19,20131231,-4.16,,0,0,0,,.51,,-8.82,-31.78,8.06,14.17,,0,39,10,-39.7,90262.15,16.54,20,150.53,-.49,,-.31,-.21,,-3.51,-43.78,-11.48,0,0,0,NSDQ,100,1,9.1,15.4,0,0,0,,10.9,-27.66,-27.66,-26.73,-43.763,-43.13,-26.25301,,0,,,0,-25.32,0,-47.7,-162.12,,,17.84,,,2.77,150.53199,-38.97,,,-49.99,-2.54,-300.52,7.4415,5.26782,,11.74,70.13,5.46,941.17,,20,6.8,60.78,-43.13,5.37,14.12,.04,,.12966,1.25999,0,0,64.79,12.06,3.26999,0,69.30999,3.28,4.2553,2,
BIO-RAD LABS -A,BIO,3.96,0,14.74,-71.25,-18.62,1.09,1.09,3.83,20131231,3.26,,0,0,0,.01248,4.72,1.21,-1.74,-3.7,114.51,7.91,,0,49,30,-6.13,53986.85,28.87,139,3349.55,.95,0,.86,1.49,0,3.95,-12.5,-4,0,0,50,NYSE,50,2,116.03,133.73,0,0,0,10,2132.69,77.77999,112.37999,173.64999,-52.99451,-57.42,110.68,-59.18354,0,0,,0,173.64999,954.21002,3.58,-32.69,35.59,29.26,24.61,30.17,2.93,1.49,1674.77697,2.78,6.6521,5.2953,4.29,.04,4.37,5.4913,1.69015,-8.83,153.57,3.52,3.68,3.07,4.06,2193.40698,525.388,78.9,-57.42,2.56,1.56,.19,1.8926,.6345,422.66,501.29,783.95001,1747.84997,487.47,435.60998,0,2186.71997,78.07,16.21999,2,
BIOAMBER INC,BIOA,-1.58,,200,,,.4,.4,-2.14,20131231,.03,,0,0,,,-1.03,-.26,-4.82,8.88,4.79,57.67,,,,171,42.65,47007.05,21.81,20,232.67,-.4,,,,,-2.59,32.98,-11.31,0,0,0,NYSE,100,1,10.67,14.98,0,0,0,,2.66,-33.21,-33.67,-33.67,15.60355,199.69,-31.90201,86.45543,0,,,0,-32.27001,2.68,.67,37.06,355.67,,,,,5.47,232.66999,.47,,,.99,-12.46,26.75,.66166,5.02751,,,26.17,2.04,16.32,,2,,,199.69,5.2,112.35,.54,1.1051,.01766,3.00999,2.41,4.84999,94.95999,17.80999,23.2,0,67.12999,1.95,45.102,1,
BIOASIS TEC INC,BIOAF,,,,,,-.02,-.02,-.13,20140228,-.09,,,,,,,,-9.02,-20.89,.79,29.22,,,,,,6470.5,44.01,1.83,40.04,-.03,,,,,-.09,,-5.72,0,0,0,OTC,100,1,.9098,1.2,0,0,0,,,-4.96001,-4.96001,-4.96001,-67.56757,,-4.85,,0,,,0,-4.84001,0,,-44.44,,,,,,,,,,,,,,,,,,,,,,9.60999,,,,,,,,,.02999,0,.56999,3.25,.23999,0,0,3.59999,,,1,
BIOCEPT INC,BIOC,-3.7,,0,,,-.67001,-.67,-5.03,20131231,,,0,0,0,,-1.79,,-13.28,-42.29,3.33,0,,0,,,,10155.95,4.45,14,14.82,-.67,,-.73,-.77,,,,-14.83,0,0,0,NSDQ,100,1,3.33,9.6,0,0,0,,.11,,,,,,,,0,,,0,,,,,,,,,,,14.819,,,,,,,,,,,,,,,1.2,.4,108.96,,,,,,,,,,,,,,,,,1,
BIODEL INC,BIOD,-.85,,42.31,-11.54,13.05,-.15001,-.15,-1.32,20130930,-.86,,0,0,,-.04706,-1.18,2.01,-4.97,-19.63,1.72,0,3.85,0,105,8,-24.56,118323.6,22.69,4.5,39.03,-.26,-.1,-.27,,,-1.56,-29.68,-10.42,0,0,33.33,NSDQ,66.67,1.67,1.72,3.44,0,0,0,,,-19.33,-19.32,-19.32,6.79845,48.22,-19.917,8.48368,0,0,,0,-18.68001,0,-65.63,25.42,,,,,,1.7,13.00999,-53.25,-84.76201,-67.80201,-65.67,,,,16.40983,,122.73,35.61,12.81,,,,,180,48.22,16.42,,0,,,.02999,0,.03999,40.06999,2.44,.01999,.00999,32.54999,1.01,0,3,
BIOLASE TECH,BIOL,,,-300,-700,,-.16,-.16,-.35,20131231,-.46,,,,,,,2.59,-1.47,20.72,1.5,64.11,,,,,-4.83,228283.8,43.89,5,117.62,-.03,,,,,,-11.28,22.37,0,0,0,NSDQ,100,1,2.68,3.34,0,0,0,,56.43,-11.48,-11.64001,-11.04,-276.39344,-274.18,-10.51201,-242.16689,0,0,,0,-10.07,34.9,-220.43,-257.05,,,,,,34.77,,-55.39,-253.506,-27.85601,-220.43,-.2,-33.44,5.3151,.15321,,,,.95,-1.61,12.92,,,,-274.18,.66,2.39,0,2.68429,1.65639,11.11999,11.36999,3.09999,25.85,21.93,0,0,8.47999,.08,0,1,
BIOSCRIP INC,BIOS,-.29,0,-100,-325,-168.75,-.10001,-.1,-.09,20131231,-.3,,-116.67,-1.79,25,-.0453,-.01,.69,-8.16,-12.62,5.65,28.6,33.33,16.67,2,120,-2.7,703345.06,68.61,10.6,494.02,-.05,-.38,-.02,.02,.55,.01,-9.3,-14.69,0,0,0,NSDQ,100,1.4,7.2,11.07,0,0,0,17,842.2,-69.65001,-51.06001,-22.87001,-207.6507,-357.68,17.36899,-246.48629,0,0,,0,-.39,570.38,-3.14,-800,,,,28.23,,1.56,123.50524,-2.55,3.0243,1.70609,-6.79,-.08,-2.48,4.99989,.08783,-42.92,-75,-216.67,1.9,27.1,-15.32,985.651,240.07899,15,-357.68,1.16,.53,1.33,20.52499,1.03009,187.3,34.34,637.34002,236.94999,174.3,375.32,0,354.57998,4.6,57.04299,5,
BROOKFIELD INFR,BIP,3.54,0,-2.27,1.14,.45,.86,.01,-.43,20131231,-.73,,0,0,0,.00747,3.91,.79,-2.58,-4.98,35.72,56.85,2.27,0,28,230,1.12,164138.34,150.3,45.58,5960.78,.88,.01,.87,.93,.02,3.3,-5.73,-7.01,0,0,33.33,NYSE,66.67,2,39.66,42.65,0,0,0,6,1826,65,22,384,-77.66324,-170.59,271,-175,4.84,5.28,14.63099,1.72,713,823,-.99,-191.49,,11.2,10.14,21.98,1.87,.89,1986.92626,-.84,1.65799,1.2279,-2.02,.04,-7.06,5.3438,1.50501,-15,727.78,923.26,1.29,-8.88,157.59,2238.35009,572,8733.3,-170.59,2.08,3.19,1.03,32.88899,.11828,346,22,4054,1268,598,6607,20,6605,44.37,50.71799,3,
ACTUATE CORP,BIRT,-.07,,-125,-22.22,-43.95,-.02,-.02,.22,20131231,.09,,0,0,0,-.7615,-.21,.99,-1.24,-16.7,3.88,2.59,,0,79,47,-48.25,161433.05,46.37,7,185.01,0,-1.41,-.02,-.02,-1.41,.25,-51.76,-11.53,0,0,100,NSDQ,0,3,3.99,8.13,0,0,0,,134.52,6.8,9.17,9.35,-33.98059,-162.21,16.14699,-95.63791,0,0,,0,13.96,19.36,3.64,-12,44.33,,,11.77,,1.61,92.50399,2.42,11.494,7.6001,3.66,.05,3.9,5.02869,1.48525,-11.96,-30,-129.55,1.67,-3.1,1.45,101.205,24.72999,75,-162.21,1.95,1.6,0,,.62116,27.40999,0,60.54999,115.55999,59.34999,.87999,0,128.83999,2.48,.22705,3,
BITAUTO HOLDNGS,BITA,1.71,,20,-6.67,10.54,.41999,.42,.95,20131231,1.23,,0,0,0,,2.86,1.63,-3.58,65.73,15.88,78.67,,0,1,186,147.25,2021196.25,44.06,86.5,3481.3,.35,,.47,.67,,.93,130.49,-17.81,0,0,0,NYSE,100,1,79.02,96.14,0,0,0,,234.71,38.95,42.54999,42.99,81.58507,90.17,46.56299,89.75674,0,0,,0,49.79,54.13,22.11,79.25,64.24,46.21,27.63,73.66,,12.89,3481.30493,14.88,22.145,15.373,22.11,.17,18.48,2.11389,1.9521,18.41,156.67,80,2.51,38.39,7.53,352.70001,95.09999,111.9,90.17,2.98,12.33,,,.80527,106.04,0,13.1,308.17999,103.55,0,0,238.33999,6.13,0,2,
BEIJING ENTERPR,BJINY,5.3,,,,,,,4.53,20131231,,,,,,,6.3,.8,0,-5.69,71.22,67.77,,,1,225,-8.96,43.8,128.43,,11534.75,,,,,,,-15.13,-1.53,0,0,0,OTC,100,1,89.81,98.65,0,0,0,,5460.27,612.96997,683.26,829.39001,30.89817,,829.81201,,1.18,1.31,25.752,.92689,1119.90002,4385.60009,,25.14,,16.94,14.26,13.73,,1.38,11534.74804,,,,,.11,,,.58688,,,17,1.01,19.09,,6112,,,,.79,,,5.73549,,688.66998,729.76,1073.75,3378.06005,3339.04003,2381.95996,0,8258.37011,65.11,22.38599,1,
BJ'S RESTAURANT,BJRI,.77,0,25,33.33,8.7,.3,.3,.85,20131231,.65,15.38,1.15,.36,-2.5,.03934,.99,.87,-2.12,1.67,25.6,84.96,.97,1.85,37,160,15.71,226346.95,28.14,32.89,1011.17,.24,.15,.13,.14,.12,.78,7.87,-.55,0,7.14,71.43,NSDQ,21.43,2.71,35.94,37.77,0,0,0,19.59,775.13,21.02,25.01,25.01,-33.05733,-45.23,73.60199,-43.96949,0,0,,0,74.01,191.88999,4.61,-24.11,55.29,46.77,36.39,13.78,2.39,2.49,77.78246,3.03,7.8544,5.33039,4.61,.03,2.29,71.633,.54954,9.08,100.64,-9.59,.74,9.43,15.93,849.122,208.74699,43.61,-45.23,.69,1.24,0,28.02099,1.3207,12.77,7.42999,4.67,70.83,92.12999,0,0,401.42999,14.41,0,14,
BANK OF NY MELL,BK,2.4,0,10.71,11.11,6.78,.62,.62,2.24,20131231,2.37,,-.06,.08,.32,.01523,2.68,1.28,-3.01,2.8,29.57,87.84,.44,.35,14,206,11.51,5228522,1131.6,39.55,44086.98,.56,.04,.61,.6,.03,2.28,3.95,-.94,1.38,7.14,57.14,NYSE,35.71,2.48,38.96,40.26,0,0,-.03,9,15143,2111,3712,3950,-13.66054,42.49,4093,92.18054,1.75,1.83,15.036,.57999,5339,105,4.69,-11.46,16.44,16.24,14.54,10.8,1.8,1.18,4898.55322,.74,5.16629,.97869,7.59,.14,18.72,.27669,.55697,-.12,101.11,7.09,.74,1.63,3.2,15128.01171,4016.68701,97.85,42.49,.73,2.94,.58,,.03955,52068,0,22525,219446,300510,20527,1562,36742,33.04,35.95199,14,
BLACKROCK KELSO,BKCC,.81,0,-4.35,-40,-39.38,.21999,.22,.64,20131231,.56,,0,0,0,.0394,.89,.94,-5.42,-5.32,8.39,22,11.11,0,28,129,-6.54,350944.16,74.56,9.17,650.15,.23,.13,.23,.17,.24,.84,-12.87,-5.42,-22.22,0,75,NSDQ,25,2.75,8.72,9.89,0,0,0,5,131.63,92.98,92.98,113.88999,62.1273,81.29,35.64799,28.80778,9.63,11.17,-2.8995,1.03999,101.9,0,3.62,-36,15.57,10.73,9.77,18.2,2.15,.89,162.53649,3.38,6.7624,6.47109,5.75,.71,32.09,2.98359,.31811,-15.02,189.58,26.95,1.53,-10.64,4.27,126.385,30.43499,103.41,81.29,.68,5.09,.45,,.10546,33.77999,0,0,63.66999,93.95999,477.98001,0,709.70001,9.76,31.104,4,
BROOKDALE SENR,BKD,-.22,0,-20,-71.43,-2.03,.03999,.04,.04,20131231,.09,-57.14,8,4.27,0,-1.18349,.22,2.12,-3.74,-3.11,25.55,66.54,-70,0,1,121,19.24,1677486.75,172.99,41.17,5606.67,.05,-1.56,-.07,-.03,-.86,0,11.16,-7.27,0,0,14.29,NYSE,85.71,1.29,32.41,35.86,0,0,0,13,2891.97,-3.58,-1.82001,135.57,94.6133,80.24,257.083,81.75617,0,0,,0,388,1671.93994,.35,111.76,360.11,,144.04,15.67,,3.94,1121.33422,.26,-.87815,-.65553,1.22,0,.42,27.92099,.21886,,740,-660,.4,4.4,9.64,3687.3269,986.03302,-185,80.24,.34,1.89,2.5,,.62781,104.26,0,268.30999,294.85998,870.84002,2434.62011,0,1020.92999,8.23,71.46299,7,
BUCKLE INC,BKE,3.4,,-3.77,0,-1.92,.50999,.51,3.39,20140131,3.37,,0,0,0,.00562,3.55,1.16,-5.74,-.18,41.94,27.01,0,0,41,126,-13.76,227327.2,48.38,45.5,2192.84,.53,.01,.87,1.25,.02,3.36,-19.6,-8.29,2.61,20,80,NYSE,0,3.2,45.33,54.49,0,0,0,,1128,162.58,260.45001,260.45001,-1.04687,-2.57,200.274,-1.02044,1.94,2.05,1.03729,.81999,298.14001,628.84997,42.24,-1.45,13.45,13.31,12.76,10.94,,5.39,548.20977,29.2,40.428,28.57299,42.24,.14,14.27,154.434,1.73188,6.53,102.65,.44,3.59,.36,6.41,1152.49902,293.885,171.08,-2.57,1.77,1.94,0,4.89279,2.0462,4.30999,124.13999,0,342.13,123.37999,0,0,361.92999,8.41,0,5,
BANK E ASIA-ADR,BKEAY,.34,-24.67,,,,,,.35,20131231,,,-2.7,-2.86,,,.36,1.11,-.72,0,3.64,59.08,,,45,187,-.72,3280.1,2328.23,4.63,9569.02,,,,,,.32,-7.45,-5.52,25,0,100,OTC,0,3,4.11,4.44,0,0,0,2.87,3888.91,864.53002,1093.83996,1467.39001,8.98582,,972.03002,,3.05,2.55,19.399,.11958,1574.89001,1291.43994,,40,,12.09,11.42,9.68,4.21,1.04,9569.01757,,,,,.22,,,.23943,,,6.25,1.08,7.67,,,,,,1.07,,.53,,,65505.30078,0,514.30999,84416.35156,78981.14843,2366.60009,0,8795.36035,3.95,34.65,1,
BLUEKNIGHT EGY,BKEP,.07,0,-200,-275,-102.09,-.08,-.08,.64,20131231,.25,,0,0,0,.60608,.29,.01,2.63,-14.83,7.61,10.58,37.5,0,47,70,-8.23,319263.25,22.92,8,179.04,.08,.22,.13,.08,0,.41,-14.45,-10.02,0,50,50,NSDQ,0,4,7.81,9.5,0,0,0,17.85,194.67,28.03,32.00999,43.61999,-11.18505,-8.79,64.594,1.21908,6.79,2.89,,.47499,71.18,0,8.64,178.26,31.24,111.57,26.93,2.75,6.25,,89.522,8.01,1.99639,2.96609,,.14,14.53,12.05599,.40415,,65,-89.06,1.2,6.73,6.34,195.1,51.4,-162.5,-8.79,1.06,.91,-1.82,,.55084,15.39,0,9.34,24.92,23.57999,273.14999,204.58999,-149.14,-6.9,86.083,2,
BLACK HILLS COR,BKH,2.74,,-6.38,21.35,6.96,.43999,.44,2.45,20131231,2.69,,0,0,,.00257,2.83,.72,-2.68,-18.71,47.1,17.92,0,,73,230,-5.43,156800.45,44.64,55,2216.87,.47,,,,,2.35,-11.84,-6.34,0,0,100,NYSE,0,3,49.66,61.39,0,0,0,,1275.9,114.95999,177.53999,289.32,41.02061,-21.45,256.67999,26.23814,3.14,4.23,1.8815,1.51999,437.29998,837.82,4.73,17.22,18.46,18.09,17.58,8.61,,1.65,1108.43603,3.07,3.7028,2.2458,9.1,.09,8.83,8.5008,.20555,14.33,,12.04,.53,8.69,-.47,1363.333,,,-21.45,.68,1.63,.84,11,.34812,179.02999,88.47,356.79,345.27999,378.39001,1396.93994,0,1307.73999,30.06,45.547,3,
BANK MUTUAL CRP,BKMU,.3,,14.29,0,0,.07999,.08,.23,20131231,.26,,-1.41,0,0,0,.35,1.59,-.15,7.44,5.8,45.46,,0,38,191,-7.28,97890.3,46.56,6.5,302.63,.07,0,.08,.08,0,.23,-13.56,2.2,0,0,100,NSDQ,0,3,6.5,7.34,0,0,0,,105.57,10.78999,16.45,21.22999,59.85185,27.04,18.426,36.21853,2.46,2.24,-17.629,.1,28.86,8.31999,2.3,53.33,25,21.67,18.57,16.38,,1.04,302.634,.52,-1.01871,-.25763,4.22,.1,11.86,.06748,.02404,2.02,133.33,30.43,.92,-5.98,-12.53,91.9,23.29999,100,27.04,.88,2.98,.93,2.05329,.04344,1508.98999,1.78999,8.72999,1553.25,1766.10998,244.89999,0,283.92001,6.22,48.186,3,
BANKINTER SA,BKNIY,.39,0,,,,.10999,.11,.35,20131231,.37,,-3.57,-4.88,,,.54,1.23,.11,10.14,5.24,90.58,,,45,187,35.38,1081,898.87,8.87,7910.02,,,,,,.31,26.21,4.76,0,0,100,OTC,0,3,8.8,9.17,0,0,0,26.97,1960.88,286.14001,395.25,1511.44995,78.49168,26.69,369.93798,85.45603,1.31,2.8,-18.816,.09863,1595.23999,0,3.95,81.49,23.78,22.56,16.3,21.3,.84,1.61,7910.02099,.44,1.5907,.32705,7.17,.15,13.07,.04434,.13788,,,11.43,.95,-26.91,1.78,,,,26.69,1.22,3.09,,,.0337,56594.9414,0,399.42001,63792.96093,52203.1289,15218.95019,0,4520.91992,5.47,77.09799,1,
BARNES & NOBLE,BKS,.18,,17.65,-14.29,118.84,-.56001,-.56,-.42,20140430,-.27,5.88,703.45,181.82,2.51,2.83988,.88,1.46,-4.55,-4.21,12.83,76.11,0,96.08,26,97,43.14,877457.81,60.06,20,1285.31,-.68,.75,.17,1.09,.28,-.52,33.44,-6.59,0,33.33,66.67,NYSE,0,3.67,21.4,24.09,0,0,0,,6381.36,-47.26,4.67999,34.18,70.05069,105.4,216.492,71.08097,0,1.82,,0,256.94,4523.41992,.9,-44.83,,118.89,24.46,5.92,,2.09,428.43502,.29,-2.52671,-.81656,1.74,-.01,.18,33.345,.34956,,111.11,142.86,1.12,-6.69,2.61,6132.0332,1700.44995,-29.76,105.4,.43,.2,0,2.9677,1.6222,143.97999,1234.63,1021.76,1980.43005,1721.64001,0,578.19,658.70001,10.22,0,3,
BANKUNITED INC,BKU,1.87,0,4.55,20.45,11.69,.46,.46,2.01,20131231,2.01,0,-.61,0,.35,.01414,2.12,.97,-.69,-5.82,30.08,30.38,-.57,-.53,7,206,-3.74,446993.56,101.62,36.21,3220.43,.44,.02,.44,.43,.04,1.95,-10.26,.06,-1.09,0,37.5,NYSE,62.5,1.94,31.69,35.38,0,0,-.13,2.7,769.93,208.92999,318,350.04,-1.10291,-2.67,-141.864,3.23448,2.65,2.45,37.401,.62999,-.75999,60.56,4.7,-1.95,15.77,16.95,14.98,,6.28,1.6,644.0866,1.34,6.42789,2.04439,10.69,.27,25.55,.08793,.02399,8.44,84.94,-6.97,.9,-4.96,-1.84,738.48999,177.1,96.02,-2.67,.88,3.94,1.34,65.57199,.05257,8983.87988,.18999,69.05999,9236.82031,10532.42968,2414.31005,0,1928.68994,19.82,57.25799,8,
